rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency,id,run
1502,f,FALSE,0,180,mov,null,incongruent,1,1
1430,f,FALSE,0,180,mov,repetition,incongruent,1,1
807,f,TRUE,180,180,or,switch,congruent,1,1
700,j,FALSE,0,180,or,repetition,incongruent,1,1
876,f,FALSE,180,0,or,repetition,incongruent,1,1
652,j,TRUE,0,0,or,repetition,congruent,1,1
981,j,FALSE,180,0,mov,switch,incongruent,1,1
830,f,TRUE,180,180,or,switch,congruent,1,1
1003,j,FALSE,180,0,mov,switch,incongruent,1,1
951,f,TRUE,0,180,or,switch,incongruent,1,1
1125,j,TRUE,180,0,or,repetition,incongruent,1,1
1322,f,TRUE,180,0,mov,switch,incongruent,1,1
1218,f,TRUE,180,180,or,switch,congruent,1,1
1132,j,FALSE,0,180,or,repetition,incongruent,1,1
1102,j,TRUE,180,0,or,repetition,incongruent,1,1
743,f,TRUE,180,180,mov,switch,congruent,1,1
733,j,FALSE,0,180,or,switch,incongruent,1,1
716,f,TRUE,180,180,mov,switch,congruent,1,1
817,j,TRUE,0,0,or,switch,congruent,1,1
1286,j,FALSE,180,0,mov,switch,incongruent,1,1
979,f,FALSE,0,180,mov,repetition,incongruent,1,1
850,j,FALSE,180,0,mov,repetition,incongruent,1,1
791,j,TRUE,0,0,mov,repetition,congruent,1,1
852,f,FALSE,0,180,mov,repetition,incongruent,1,1
1060,j,FALSE,0,180,or,switch,incongruent,1,1
881,f,FALSE,0,0,mov,switch,congruent,1,1
1118,j,TRUE,0,180,mov,repetition,incongruent,1,1
924,f,FALSE,180,0,or,switch,incongruent,1,1
818,f,FALSE,180,0,or,repetition,incongruent,1,1
901,f,TRUE,180,180,or,repetition,congruent,1,1
828,f,FALSE,0,180,mov,switch,incongruent,1,1
834,f,TRUE,0,180,or,switch,incongruent,1,1
776,j,TRUE,0,0,or,repetition,congruent,1,1
1248,j,TRUE,0,0,or,repetition,congruent,1,1
1364,j,FALSE,0,180,or,repetition,incongruent,1,1
717,j,TRUE,180,0,or,repetition,incongruent,1,1
627,f,TRUE,180,0,mov,switch,incongruent,1,1
797,j,TRUE,0,0,or,switch,congruent,1,1
565,j,TRUE,0,0,or,repetition,congruent,1,1
698,f,TRUE,180,180,or,repetition,congruent,1,1
674,j,FALSE,0,180,or,repetition,incongruent,1,1
897,f,FALSE,0,180,mov,switch,incongruent,1,1
628,f,FALSE,0,180,mov,repetition,incongruent,1,1
626,j,TRUE,0,0,or,switch,congruent,1,1
799,f,TRUE,180,180,or,repetition,congruent,1,1
605,j,TRUE,0,0,mov,switch,congruent,1,1
783,f,FALSE,180,0,or,switch,incongruent,1,1
604,j,FALSE,0,180,or,repetition,incongruent,1,1
626,f,TRUE,180,180,or,repetition,congruent,1,1
804,f,TRUE,180,180,mov,switch,congruent,1,1
694,j,FALSE,180,0,mov,repetition,incongruent,1,1
863,j,TRUE,0,0,or,switch,congruent,1,1
965,j,FALSE,0,180,or,repetition,incongruent,1,1
739,f,TRUE,180,0,mov,switch,incongruent,1,1
879,j,FALSE,180,0,mov,repetition,incongruent,1,1
